session,n_trials,n_words,mean_T,per_greedy_%,wer_flashlight_%,wer_final_%,delta_pp,word_errors,frac_lo_regime,share_of_all_errors_%,outlier
t15.2023.08.13,35,230,731.6285714285714,5.2,3.91,3.04,-0.87,7,0.05714285714285714,2.08,False
t15.2023.08.18,49,277,709.469387755102,4.11,2.89,1.08,-1.81,3,0.02040816326530612,0.89,False
t15.2023.08.20,48,292,729.5416666666666,3.81,3.42,0.34,-3.08,1,0.020833333333333332,0.3,False
t15.2023.08.25,25,159,764.28,3.46,3.14,1.89,-1.26,3,0.04,0.89,False
t15.2023.08.27,25,138,652.76,10.13,7.97,4.35,-3.62,6,0.12,1.79,False
t15.2023.09.01,49,299,733.6326530612245,3.57,2.68,1.67,-1.0,5,0.0,1.49,False
t15.2023.09.03,34,183,704.1176470588235,7.01,6.01,4.37,-1.64,8,0.058823529411764705,2.38,False
t15.2023.09.24,35,196,785.2571428571429,6.43,5.1,3.57,-1.53,7,0.0,2.08,False
t15.2023.09.29,48,349,1064.6875,6.57,4.01,2.87,-1.15,10,0.041666666666666664,2.98,False
t15.2023.10.01,44,313,886.1363636363636,11.03,6.39,5.43,-0.96,17,0.13636363636363635,5.06,False
t15.2023.10.06,36,222,849.1388888888889,4.95,3.15,0.45,-2.7,1,0.0,0.3,False
t15.2023.10.15,44,336,1107.7272727272727,8.31,4.17,2.68,-1.49,9,0.022727272727272728,2.68,False
t15.2023.10.20,9,71,1129.7777777777778,15.1,8.45,7.04,-1.41,5,0.0,1.49,False
t15.2023.10.22,33,213,890.5757575757576,6.57,4.23,2.82,-1.41,6,0.0,1.79,False
t15.2023.11.03,50,342,1059.76,11.19,8.19,6.73,-1.46,23,0.1,6.85,False
t15.2023.11.04,15,80,826.8666666666667,0.34,3.75,0.0,-3.75,0,0.0,0.0,False
t15.2023.11.17,25,168,1157.48,0.78,1.79,0.0,-1.79,0,0.0,0.0,False
t15.2023.11.19,20,130,917.8,0.0,1.54,0.0,-1.54,0,0.0,0.0,False
t15.2023.12.03,34,212,912.6470588235294,3.15,2.36,0.94,-1.42,2,0.058823529411764705,0.6,False
t15.2023.12.08,50,333,1030.14,1.33,2.4,1.5,-0.9,5,0.0,1.49,False
t15.2023.12.10,25,168,1151.36,1.18,0.0,0.0,0.0,0,0.0,0.0,False
t15.2023.12.17,30,233,956.7,5.09,1.72,0.86,-0.86,2,0.0,0.6,False
t15.2023.12.29,50,333,898.58,5.97,6.91,3.9,-3.0,13,0.0,3.87,False
t15.2024.02.25,23,164,983.8260869565217,4.35,3.05,1.22,-1.83,2,0.0,0.6,False
t15.2024.03.08,24,161,890.375,14.51,11.18,6.21,-4.97,10,0.0,2.98,False
t15.2024.03.15,48,362,972.3333333333334,9.44,6.35,3.59,-2.76,13,0.020833333333333332,3.87,False
t15.2024.03.17,48,336,925.3541666666666,2.02,0.89,0.3,-0.6,1,0.0,0.3,False
t15.2024.05.10,25,156,837.04,4.61,3.21,1.28,-1.92,2,0.04,0.6,False
t15.2024.06.14,25,151,890.64,10.88,7.28,3.31,-3.97,5,0.04,1.49,False
t15.2024.07.19,48,350,753.9791666666666,11.8,8.57,6.0,-2.57,21,0.0,6.25,False
t15.2024.07.21,46,345,1126.195652173913,3.86,1.45,0.29,-1.16,1,0.0,0.3,False
t15.2024.07.28,48,305,1048.4583333333333,3.24,1.31,0.33,-0.98,1,0.020833333333333332,0.3,False
t15.2025.01.12,47,298,1109.2553191489362,2.46,1.68,0.67,-1.01,2,0.0,0.6,False
t15.2025.03.14,24,162,698.4583333333334,6.21,0.62,0.0,-0.62,0,0.0,0.0,False
t15.2025.03.16,24,172,1244.8333333333333,4.32,2.33,0.58,-1.74,1,0.0,0.3,False
t15.2025.04.13,25,159,942.24,14.55,9.43,6.29,-3.14,10,0.08,2.98,False
