session,test,train,val
t15.2023.08.11,0,288,0
t15.2023.08.13,35,348,35
t15.2023.08.18,50,197,49
t15.2023.08.20,49,278,48
t15.2023.08.25,25,88,25
t15.2023.08.27,25,150,25
t15.2023.09.01,50,297,49
t15.2023.09.03,35,322,34
t15.2023.09.24,35,245,35
t15.2023.09.29,49,153,48
t15.2023.10.01,45,218,44
t15.2023.10.06,37,174,36
t15.2023.10.08,18,284,17
t15.2023.10.13,45,155,44
t15.2023.10.15,45,239,44
t15.2023.10.20,9,98,9
t15.2023.10.22,35,134,33
t15.2023.11.03,50,149,50
t15.2023.11.04,15,80,15
t15.2023.11.17,25,100,25
t15.2023.11.19,20,60,20
t15.2023.11.26,45,198,44
t15.2023.12.03,34,228,34
t15.2023.12.08,50,198,50
t15.2023.12.10,25,131,25
t15.2023.12.17,30,135,30
t15.2023.12.29,50,198,50
t15.2024.02.25,24,193,23
t15.2024.03.03,0,219,0
t15.2024.03.08,25,163,24
t15.2024.03.15,50,239,48
t15.2024.03.17,49,246,48
t15.2024.04.25,0,364,0
t15.2024.04.28,0,150,0
t15.2024.05.10,25,110,25
t15.2024.06.14,25,90,25
t15.2024.07.19,49,169,48
t15.2024.07.21,47,160,46
t15.2024.07.28,49,161,48
t15.2025.01.10,24,106,23
t15.2025.01.12,47,163,47
t15.2025.03.14,26,59,24
t15.2025.03.16,24,101,24
t15.2025.03.30,30,165,30
t15.2025.04.13,25,69,25
