nbest,n_lw,lm_weights,cv_wer_%,tune_wer_%,ng,nw,mean_pool,verify_wer_%,gap_vs_best_pp,gap_se_pp
25,5,1.5 3 3.5 4.5 5.5,4.985,4.866,2.1,-2.75,44.568,4.619,0.0,0.0
25,5,1.5 2.5 3.5 4.5 5.5,4.985,4.866,2.1,-2.75,45.036,4.726,0.0,0.0
25,6,1.5 2.5 3 3.5 4.5 5.5,4.985,4.866,2.1,-2.75,45.412,4.726,0.0,0.0
25,6,0.5 1.5 3 3.5 4.5 5.5,4.985,4.866,2.1,-2.75,56.242,4.619,0.0,0.0
25,6,0.5 1.5 2.5 3.5 4.5 5.5,4.985,4.866,2.1,-2.75,56.705,4.726,0.0,0.0
25,7,0.5 1.5 2.5 3 3.5 4.5 5.5,4.985,4.866,2.1,-2.75,57.076,4.726,0.0,0.0
50,5,1.5 3 3.5 4.5 5.5,4.985,4.866,2.1,-2.75,87.155,4.511,0.0,0.0
50,5,1.5 2.5 3.5 4.5 5.5,4.985,4.866,2.1,-2.75,87.671,4.619,0.0,0.0
50,6,1.5 2.5 3 3.5 4.5 5.5,4.985,4.866,2.1,-2.75,88.795,4.619,0.0,0.0
50,6,0.5 1.5 3 3.5 4.5 5.5,4.985,4.866,2.1,-2.75,112.215,4.511,0.0,0.0
50,6,0.5 1.5 2.5 3.5 4.5 5.5,4.985,4.866,2.1,-2.75,112.72,,,
50,7,0.5 1.5 2.5 3 3.5 4.5 5.5,4.985,4.866,2.1,-2.75,113.842,,,
75,5,1.5 3 3.5 4.5 5.5,4.985,4.866,2.1,-2.75,127.37,,,
75,5,1.5 2.5 3.5 4.5 5.5,4.985,4.866,2.1,-2.75,128.349,,,
75,6,1.5 2.5 3 3.5 4.5 5.5,4.985,4.866,2.1,-2.75,130.295,,,
100,5,1.5 3 3.5 4.5 5.5,4.985,4.866,2.1,-2.75,165.775,,,
75,6,0.5 1.5 3 3.5 4.5 5.5,4.985,4.866,2.1,-2.75,166.3,,,
75,6,0.5 1.5 2.5 3.5 4.5 5.5,4.985,4.866,2.1,-2.75,167.261,,,
100,5,1.5 2.5 3.5 4.5 5.5,4.985,4.866,2.1,-2.75,167.861,,,
75,7,0.5 1.5 2.5 3 3.5 4.5 5.5,4.985,4.866,2.1,-2.75,169.203,,,
100,6,1.5 2.5 3 3.5 4.5 5.5,4.985,4.866,2.1,-2.75,170.594,,,
100,6,0.5 1.5 3 3.5 4.5 5.5,4.985,4.866,2.1,-2.75,218.618,,,
100,6,0.5 1.5 2.5 3.5 4.5 5.5,4.985,4.866,2.1,-2.75,220.678,4.619,0.0,0.0
100,7,0.5 1.5 2.5 3 3.5 4.5 5.5,4.985,4.866,2.1,-2.75,223.409,,,
25,4,1.5 3 3.5 4.5,4.998,4.893,2.1,-2.75,42.712,,,
25,4,1.5 2.5 3.5 4.5,4.998,4.893,2.1,-2.75,43.181,,,
25,4,1.5 3 3.5 5.5,4.998,4.879,2.1,-2.75,43.201,,,
25,4,1.5 3 4.5 5.5,4.998,4.879,2.1,-2.75,43.506,,,
25,5,1.5 2.5 3 3.5 4.5,4.998,4.893,2.1,-2.75,43.56,,,
25,5,1.5 2.5 3 3.5 5.5,4.998,4.879,2.1,-2.75,44.046,,,
25,5,1.5 2.5 3 4.5 5.5,4.998,4.879,2.1,-2.75,44.369,,,
25,5,0.5 1.5 3 3.5 4.5,4.998,4.893,2.1,-2.75,54.385,,,
25,5,0.5 1.5 2.5 3.5 4.5,4.998,4.893,2.1,-2.75,54.85,,,
25,5,0.5 1.5 3 3.5 5.5,4.998,4.879,2.1,-2.75,54.875,,,
25,5,0.5 1.5 3 4.5 5.5,4.998,4.879,2.1,-2.75,55.181,,,
25,6,0.5 1.5 2.5 3 3.5 4.5,4.998,4.893,2.1,-2.75,55.225,,,
25,6,0.5 1.5 2.5 3 3.5 5.5,4.998,4.879,2.1,-2.75,55.711,,,
25,6,0.5 1.5 2.5 3 4.5 5.5,4.998,4.879,2.1,-2.75,56.034,,,
50,4,1.5 3 3.5 4.5,4.998,4.893,2.1,-2.75,84.464,,,
50,4,1.5 3 4.5 5.5,4.998,4.879,2.1,-2.75,84.887,,,
50,4,1.5 3 3.5 5.5,4.998,4.879,2.1,-2.75,84.943,,,
50,4,1.5 2.5 3.5 4.5,4.998,4.893,2.1,-2.75,84.988,,,
50,5,1.5 2.5 3 3.5 4.5,4.998,4.893,2.1,-2.75,86.114,,,
50,5,1.5 2.5 3 4.5 5.5,4.998,4.879,2.1,-2.75,86.548,,,
50,5,1.5 2.5 3 3.5 5.5,4.998,4.879,2.1,-2.75,86.585,,,
50,5,0.5 1.5 3 3.5 4.5,4.998,4.893,2.1,-2.75,109.525,,,
50,5,0.5 1.5 3 4.5 5.5,4.998,4.879,2.1,-2.75,109.949,,,
50,5,0.5 1.5 3 3.5 5.5,4.998,4.879,2.1,-2.75,110.004,,,
50,5,0.5 1.5 2.5 3.5 4.5,4.998,4.893,2.1,-2.75,110.037,,,
50,6,0.5 1.5 2.5 3 3.5 4.5,4.998,4.893,2.1,-2.75,111.16,,,
50,6,0.5 1.5 2.5 3 4.5 5.5,4.998,4.879,2.1,-2.75,111.596,,,
50,6,0.5 1.5 2.5 3 3.5 5.5,4.998,4.879,2.1,-2.75,111.631,,,
75,4,1.5 3 3.5 4.5,4.998,4.893,2.1,-2.75,123.884,,,
75,4,1.5 3 4.5 5.5,4.998,4.879,2.1,-2.75,124.117,,,
75,4,1.5 3 3.5 5.5,4.998,4.879,2.1,-2.75,124.696,,,
75,4,1.5 2.5 3.5 4.5,4.998,4.893,2.1,-2.75,124.879,,,
75,5,1.5 2.5 3 3.5 4.5,4.998,4.893,2.1,-2.75,126.828,,,
75,5,1.5 2.5 3 4.5 5.5,4.998,4.879,2.1,-2.75,127.07,,,
